gene	D1_D_progenitor	D2_D_progenitor	K1_K_progenitor	K2_K_progenitor	W1_W_progenitor	W2_W_progenitor	D1_D_effector-like	D2_D_effector-like	K1_K_effector-like	K2_K_effector-like	W1_W_effector-like	W2_W_effector-like	D1_D_transitory	D2_D_transitory	K1_K_transitory	K2_K_transitory	W1_W_transitory	W2_W_transitory	D1_D_terminal	D2_D_terminal	K1_K_terminal	K2_K_terminal	W1_W_terminal	W2_W_terminal
N4bp1	57.99041519439976	42.21834525916954	56.831004127937064	71.62011847732684	48.54918987064439	58.1041361844896	65.86142578330929	101.12083699900863	101.40086490922076	94.31256978312426	96.98758334561072	96.47162791906388	71.98421714124756	61.19969718252497	78.78541039224379	62.15824780117581	84.41742318287986	79.05798830151636	25.95759065710637	31.854361565478513	39.63811898122627	56.819467415015886	28.5380451145404	40.905577149324344
Cnep1r1	28.99520759719988	39.12919804508396	40.470563545652155	43.97726573169192	33.522059672587794	27.48168603320454	0	0	0	0	0	0	32.3928977135614	31.156209474739985	40.88863070989868	33.38128122655738	43.631477150701954	32.341904305165784	21.63132554758864	20.4778038635219	30.82964809650932	33.87314403587486	26.754417294881623	28.81983844611488
Heatr3	25.12917991757323	23.683461974656083	29.27657788408879	32.668825972114	31.210193488271393	29.0520680922448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Papd5	32.86123527682653	29.861756402827236	37.88733608529137	50.25973226479077	35.833925856904195	34.548405298885704	0	0	0	0	0	0	26.994081427967835	25.59260063996499	23.934808220428494	25.32373058566422	26.55829043955771	19.76449707537909	0	0	0	0	0	0
Adcy7	100.51671967029291	110.17958396905222	126.57814555767801	126.90582396859669	102.87804520207978	108.35636207377789	88.25431054963444	79.10259023309547	92.58339839537547	92.32704199821637	83.71559825621135	77.66783603653448	84.58145514096589	81.22868898771496	107.70663699192822	90.93521437579425	78.72636094583179	79.05798830151636	124.59643515411058	113.76557701956611	127.72282782839575	99.4340679762778	107.90948308935589	112.49033716064196
Brd7	74.42103283281303	87.52583773242465	84.38543037178533	108.05842436930016	100.56617901776337	95.79330560145581	73.7647968773064	59.530815330061536	61.722265596916984	44.67437516042728	60.23439386727402	60.49915649161633	81.8820469981691	83.45413252162497	75.79355936469022	79.42442774594687	82.52040243719716	89.83862306990495	56.241446423730466	81.9112154540876	64.9624727747875	41.52191849558853	51.72520677010447	58.56934910016895
Snx20	81.18658127215966	54.574934115511844	75.77467217058275	81.672064930285	48.54918987064439	64.38566442065063	63.22696875197691	55.4533622252628	51.80261576884104	48.64543073024304	40.83687719815188	41.69536460908693	60.28678185579483	82.34141075466997	70.80714098543429	75.97119175699265	60.70466386184619	64.68380861033157	55.376193401826924	55.7451327395874	71.5688259383252	89.59992938521737	58.85971804873957	60.42869351604733
Cyld	118.8803511485195	147.2493505380791	139.4942828594819	126.90582396859669	128.30857322956018	149.97148663834477	73.7647968773064	54.63787160430305	49.59824914037972	57.58030576232849	92.90389562579553	67.03960584206133	86.38106056949707	84.56685428857996	80.77997774394616	94.38845036474845	82.52040243719716	89.83862306990495	100.3693505408113	95.56308469643554	114.51012150132033	100.52675004195119	101.66678572055017	118.06837040827709
Chd9	55.09089443467977	57.664081329597416	56.831004127937064	61.56817202436869	75.13565099028298	50.2522258892883	31.613484375988456	38.32805918510811	30.861132798458492	36.73226402079576	45.941486847920864	29.43202207700254	31.493094999295806	26.70532240691999	46.8723327650058	49.4963825083437	46.47700826922599	36.833835458661035	30.283855766624097	31.854361565478513	41.840236702405505	36.05850816722162	41.91525376198121	44.6242659810811
Rbl2	112.11480270917286	118.41730987328042	129.16137301803877	125.64933066197692	100.56617901776337	127.98613781178113	67.17865429897547	57.89983408814204	57.31353233999434	66.51518079441395	68.4017693069044	76.03272369892322	110.67573385466812	106.82128962767996	107.70663699192822	139.28051822115322	125.20336921505778	133.85954837415838	127.19219421982122	131.96806934269668	148.6429461795985	113.63893483003177	142.690225572702	154.3255865179055
